id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1237935064543113218,1237935064543113218,1583981693000,2020-03-11,21:54:53,-05,29330019,lamula,La Mula,,"#COVID19 en #Perú: dejen de comprar/consumir productos innecesarios, porque están afectando a personas que sí las necesitan. Aquí te explicamos por qué no es necesario el uso de #mascarillas ante el #coronavirus -->  http://ow.ly/9Z6e30qpawY 
#LavadoDeManosEsLoMásImportante #Salud",[],['http://ow.ly/9Z6e30qpawY'],[],10,41,88,"['#covid19', '#perú', '#mascarillas', '#coronavirus', '#lavadodemanoseslomásimportante', '#salud']",[],https://twitter.com/lamula/status/1237935064543113218,False,,0,,,,,,,"[{'user_id': '29330019', 'username': 'lamula'}]",,,,
1237934908783263744,1237859326087192577,1583981656000,2020-03-11,21:54:16,-05,1118181643196350464,manuelmorenope,Manuel Moreno,,strappy si vienes a Perú tienes que traer tu mascarilla porque aquí esta el coronavirus,"['alexxxstrecci', 'lolaclubmx']",[],[],0,0,0,[],[],https://twitter.com/manuelmorenope/status/1237934908783263744,False,,0,,,,,,,"[{'user_id': '1118181643196350464', 'username': 'manuelmorenope'}, {'user_id': '223272482', 'username': 'AlexXxStrecci'}, {'user_id': '3028902051', 'username': 'LolaClubMx'}]",,,,
1237934527751901189,1237934527751901189,1583981565000,2020-03-11,21:52:45,-05,128362053,greicyaponte,Greicy,,#Dios #Coronavirus #Perú  https://gestion.pe/peru/coronavirus-minsa-declara-que-ya-son-17-casos-de-personas-afectadas-por-covid-19-noticia/ …,[],['https://gestion.pe/peru/coronavirus-minsa-declara-que-ya-son-17-casos-de-personas-afectadas-por-covid-19-noticia/'],[],0,1,0,"['#dios', '#coronavirus', '#perú']",[],https://twitter.com/greicyaponte/status/1237934527751901189,False,,0,,,,,,,"[{'user_id': '128362053', 'username': 'greicyaponte'}]",,,,
1237934292065562624,1237934292065562624,1583981509000,2020-03-11,21:51:49,-05,925741025313853440,visionrdn,VisionRDN,,Perú detecta dos nuevos casos de coronavirus y la cifra de infectados se eleva a 15  https://visionrdn.com/peru-detecta-dos-nuevos-casos-de-coronavirus-y-la-cifra-de-infectados-se-eleva-a-15/ … pic.twitter.com/KhVYzI8dcm,[],['https://visionrdn.com/peru-detecta-dos-nuevos-casos-de-coronavirus-y-la-cifra-de-infectados-se-eleva-a-15/'],['https://pbs.twimg.com/media/ES4GrZaWAAAayu1.jpg'],0,0,0,[],[],https://twitter.com/VisionRDN/status/1237934292065562624,False,,0,,,,,,,"[{'user_id': '925741025313853440', 'username': 'VisionRDN'}]",,,,
1237934193453215744,1237934193453215744,1583981486000,2020-03-11,21:51:26,-05,230330897,arianagmh,A r i a n a G e n e s i s,,"¿Precaución o Paranoia? 🙄🤔
– Plaza Vea de Independencia se encuentra con desabastecimiento de productos de Limpieza por el #Coronavirus ante una posible #cuarentena en #Peru  pic.twitter.com/ZkDBMNNJix",[],[],"['https://pbs.twimg.com/media/ES4GiJTXQAQFY_W.jpg', 'https://pbs.twimg.com/media/ES4GjUbWoAAHN8Q.jpg', 'https://pbs.twimg.com/media/ES4GkwDWAAA3kXw.jpg']",1,5,6,"['#coronavirus', '#cuarentena', '#peru']",[],https://twitter.com/ArianaGMH/status/1237934193453215744,False,,0,,,,,,,"[{'user_id': '230330897', 'username': 'ArianaGMH'}]",,,,
1237934070425948160,1237933330085052423,1583981456000,2020-03-11,21:50:56,-05,2798785728,e_pigrafo,Que no te enreden ni en la red ni en la calle,,"Maldad total, gente así no tiene calidad profesional solo esta interesada en ""nivelar"" su sueldo aprovechándose d los males q padecen los usuarios dl servicio En esos gremios están infiltrados los del @APRA_Oficial como en todo el Estado son lo peor q tiene el Perú #coronavirus","['sputnikmundo', 'apra_oficial']",[],[],0,0,0,['#coronavirus'],[],https://twitter.com/e_pigrafo/status/1237934070425948160,False,,0,,,,,,,"[{'user_id': '2798785728', 'username': 'e_pigrafo'}, {'user_id': '253020963', 'username': 'SputnikMundo'}, {'user_id': '1515282908', 'username': 'APRA_Oficial'}]",,,,
1237934054806302720,1237865278920220673,1583981453000,2020-03-11,21:50:53,-05,1247773416,gejlopezjara,Gonzalo,,"Cinco países de Latinoamericano imponen restricciones a los viajeros provenientes de países con coronavirus
Colombia, Perú, Chile, Guatemala y El Salvador exigen una cuarentena preventiva o prohíben el ingreso a personas que lleguen a sus territorios. K esperamos hay k actuar .","['lenin', 'policiaecuador']",[],[],0,0,0,[],[],https://twitter.com/GejlopezJara/status/1237934054806302720,False,,0,,,,,,,"[{'user_id': '1247773416', 'username': 'GejlopezJara'}, {'user_id': '913131817', 'username': 'Lenin'}, {'user_id': '202282454', 'username': 'PoliciaEcuador'}]",,,,
1237934011927924737,1237934011927924737,1583981442000,2020-03-11,21:50:42,-05,49229700,daviddelapaz,David de la Paz,,"El Ministerio de Salud de #Perú @Minsa_Peru confirmó dos nuevos casos de coronavirus #COVID19, con lo que se eleva a 17 el número de personas infectadas hasta el momento en la nación andina.
 La institución no ha proporcionado mayores datos sobre los nuevos pacientes pic.twitter.com/yt27dzON8Y",['minsa_peru'],[],['https://pbs.twimg.com/media/ES4GaznWsAAnzjm.jpg'],0,0,2,"['#perú', '#covid19']",[],https://twitter.com/daviddelapaz/status/1237934011927924737,False,,0,,,,,,,"[{'user_id': '49229700', 'username': 'daviddelapaz'}, {'user_id': '138471254', 'username': 'Minsa_Peru'}]",,,,
1237933931024039937,1237933931024039937,1583981423000,2020-03-11,21:50:23,-05,29330019,lamula,La Mula,,"#Coronavirus en #Perú: universidades e institutos también postergan inicio de clases -->  http://ow.ly/nOmG30qpawu 
#COVID19 #Educación #Salud #Pandemia pic.twitter.com/2TuCXmVmvU",[],['http://ow.ly/nOmG30qpawu'],['https://pbs.twimg.com/media/ES4GWZaWoAA6B_d.jpg'],3,12,21,"['#coronavirus', '#perú', '#covid19', '#educación', '#salud', '#pandemia']",[],https://twitter.com/lamula/status/1237933931024039937,False,,0,,,,,,,"[{'user_id': '29330019', 'username': 'lamula'}]",,,,
1237933915144364032,1236145846108016640,1583981419000,2020-03-11,21:50:19,-05,1219316341397696513,elizabe57316323,Elizabeth,,"Becerril es corona virus del Perú,nadie te quiere miserable das Ascó.","['richardarceperu', 'hectorbecerrilr']",[],[],0,0,0,[],[],https://twitter.com/Elizabe57316323/status/1237933915144364032,False,,0,,,,,,,"[{'user_id': '1219316341397696513', 'username': 'Elizabe57316323'}, {'user_id': '63195697', 'username': 'RichardArcePeru'}, {'user_id': '525822471', 'username': 'hectorbecerrilr'}]",,,,
